"club_id","draw","goals_conceded","goals_scored","league_standing","loss","plus_minus","Points","season","team_link","team_name","total_matches","wins"
289,14,55,42,"13",14,-13,44,"2014","https://www.transfermarkt.com/afc-sunderland/spielplan/verein/289/saison_id/2014","Sunderland",38,10
762,20,63,36,"14",6,-27,42,"2014","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2014","Newcastle",38,12
405,19,58,32,"15",9,-26,39,"2014","https://www.transfermarkt.com/aston-villa/spielplan/verein/405/saison_id/2014","Aston Villa",38,10
984,19,60,39,"16",11,-21,35,"2014","https://www.transfermarkt.com/west-bromwich-albion/spielplan/verein/984/saison_id/2014","West Brom",38,8
3008,22,56,34,"17",9,-22,30,"2014","https://www.transfermarkt.com/hull-city/spielplan/verein/3008/saison_id/2014","Hull City",38,7
1039,11,34,21,"18",3,-13,18,"2014","https://www.transfermarkt.com/queens-park-rangers/spielplan/verein/1039/saison_id/2014","QPR",19,5
873,13,49,52,"7",9,3,57,"2019","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2019","Crystal Palace",38,16
148,14,47,60,"8",8,13,56,"2019","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2019","Spurs",38,16
11,12,51,57,"9",11,6,56,"2019","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2019","Arsenal",38,15
1132,9,29,14,"19",7,-15,16,"2014","https://www.transfermarkt.com/fc-burnley/spielplan/verein/1132/saison_id/2014","Burnley",19,3
931,11,44,21,"20",4,-23,16,"2014","https://www.transfermarkt.com/fc-fulham/spielplan/verein/931/saison_id/2014","Fulham",19,4
1123,11,30,12,"21",5,-18,14,"2014","https://www.transfermarkt.com/norwich-city/spielplan/verein/1123/saison_id/2014","Norwich",19,3
1003,12,31,17,"22",4,-14,13,"2014","https://www.transfermarkt.com/leicester-city/spielplan/verein/1003/saison_id/2014","Leicester",19,3
603,13,44,17,"23",3,-27,12,"2014","https://www.transfermarkt.com/cardiff-city/spielplan/verein/603/saison_id/2014","Cardiff",19,3
29,16,46,46,"10",7,0,52,"2019","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2019","Everton",38,15
762,16,51,47,"11",7,-4,52,"2019","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2019","Newcastle",38,15
1132,17,59,49,"12",7,-10,49,"2019","https://www.transfermarkt.com/fc-burnley/spielplan/verein/1132/saison_id/2019","Burnley",38,14
180,16,65,48,"13",10,-17,46,"2019","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2019","Southampton",38,12
379,17,57,46,"14",8,-11,44,"2019","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2019","West Ham",37,12
