"away_score","away_team","club_id","club_name","coach","competition_name","home_score","home_team","match_date","match_result_link","match_time","match_type","play_style","result","season"
0,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",3,"Swansea","08-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332206","6:30 PM","25","4-2-3-1","3:0 ","2013"
0,"Aston Villa",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Cardiff","11-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332200","8:45 PM","26","4-4-2 double 6","0:0 ","2013"
4,"Hull City",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Cardiff","22-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332160","4:00 PM","27","4-4-2 double 6","0:4 ","2013"
0,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",1,"Spurs","02-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332186","5:30 PM","28","5-3-2","1:0 ","2013"
1,"Fulham",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",3,"Cardiff","08-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332181","4:00 PM","29","4-1-4-1","3:1 ","2013"
1,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",2,"Everton","15-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332145","4:00 PM","30","5-4-1","2:1 ","2013"
6,"Liverpool",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",3,"Cardiff","22-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332135","4:00 PM","31","5-3-2","3:6 ","2013"
3,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",3,"West Brom","29-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332156","4:00 PM","32","5-3-2","3:3 ","2013"
3,"Crystal Palace",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Cardiff","05-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332274","4:00 PM","33","4-4-2 double 6","0:3 ","2013"
1,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Southampton","12-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332293","4:05 PM","34","4-1-4-1","0:1 ","2013"
1,"Stoke City",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",1,"Cardiff","19-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332294","4:00 PM","35","4-1-4-1","1:1 ","2013"
0,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",4,"Sunderland","27-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332267","1:00 PM","36","4-1-4-1","4:0 ","2013"
0,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",3,"Newcastle","03-05-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332261","4:00 PM","37","4-1-4-1","3:0 ","2013"
2,"Chelsea",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",1,"Cardiff","11-05-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332262","4:00 PM","38","4-3-3 Attacking","1:2 ","2013"
2,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","FA Cup",1,"Newcastle","04-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2387439","4:00 PM","Third Round","4-4-2 double 6","1:2 ","2013"
1,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","FA Cup",0,"Bolton","25-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2421956","4:00 PM","Fourth Round","4-4-2 double 6","0:1 ","2013"
2,"Wigan",603,"Cardiff","Ole Gunnar Solskjaer","FA Cup",1,"Cardiff","15-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2423912","4:00 PM","Fifth Round","4-2-3-1","1:2 ","2013"
